Tumor_SRR30510137,Tumor_SRR30510151,Tumor_SRR30510181,Normal_SRR28602760,Normal_SRR28602761,Normal_SRR28602767
0,0,0,0,0,0
0,0,0,0,0,0
297,668,1480,542,377,600
0,0,0,0,4,0
0,0,0,0,0,0
0,0,0,0,0,0
36966,49159,5992,3188,7626,11900
2,0,0,16,4,6
1,4,28,2,1,2
0,0,0,0,0,0
2,0,0,3,0,0
6600,7259,3766,8060,4563,1543
0,0,0,0,0,0
0,0,0,0,0,0
11,4,0,0,0,0
0,0,0,0,0,0
0,0,0,2,0,0
17,20,0,4,4,21
9893,3733,1716,10,27,36
1654,3043,573,975,1826,2307
0,0,0,0,0,0
20731,4612,3324,705,643,1736
0,9,0,2,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,2,1,0,0,0
0,2,4,5,4,1
0,0,0,0,0,0
3286,3133,999,5107,1542,1089
6,0,0,0,0,3
8,2,14,4,8,6
29,24,571,1528,1770,2025
1,2,0,9,20,29
2,0,0,0,2,0
1612,987,2191,828,675,893
0,0,0,0,0,0
0,0,0,0,0,2
0,0,0,4,2,0
0,0,8,2,0,0
140,134,204,33,52,48
3104,1601,191,228,425,673
19,10,13,23,41,68
24,8,0,19,6,0
2,0,0,2,0,0
2,2,0,0,0,0
4,9,0,94,50,25
4,2,0,2,0,0
163,26,0,9,10,11
104,801,140,0,2,8
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
8776,4507,1774,815,886,1077
2,50,14,150,624,1167
0,0,0,2,0,0
10,26,88,471,4445,7706
3116,442,1312,1643,1305,821
3638,1246,48,1076,813,488
0,0,0,0,0,0
63,81,30,60,33,26
0,0,0,0,3,4
0,0,0,0,2,9
4433,4109,615,490,762,911
18,1,0,0,0,0
0,0,0,0,0,0
24923,21479,16653,7650,11116,20370
0,0,0,0,0,0
16,2,50,28,4,8
0,0,0,0,0,0
0,0,0,0,2,0
28,89,19,60,250,211
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
16,2,0,82,65,42
2,26,0,63,28,34
16,34,0,76,61,42
0,0,0,0,0,2
382,287,235,694,670,383
0,4,0,82,310,158
0,0,0,7,58,114
5739,1292,323,26,37,42
0,0,0,25,6,0
149,218,180,107,59,33
0,0,0,0,0,0
6,0,0,22,53,39
0,0,0,1,0,0
0,0,0,0,0,2
0,0,0,0,0,0
0,0,0,0,0,0
118,61,29,240,391,492
2,10,0,0,3,6
7858,4110,1798,2641,2782,4074
11785,17125,5159,16167,13335,13011
0,0,2,0,4,0
7252,9118,1276,1022,1264,1385
0,0,0,6,1,4
0,0,0,0,0,0
15,8,0,0,2,0
2,2,0,0,0,0
0,4,0,4,6,2
53,11,7,296,503,445
0,1,0,3,3,2
28803,14765,3975,4793,6536,8476
0,2,0,0,0,0
22420,20229,5276,2585,2760,3666
0,0,0,0,0,0
0,0,0,0,2,0
2238,2407,296,355,571,660
0,0,0,0,0,0
2,6,2,4,0,0
11,4,0,0,2,5
2,4,0,0,0,0
7200,7376,1980,1379,1493,1468
0,0,0,0,0,0
9,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
0,1,0,0,2,0
0,2,0,0,0,0
431,0,12,8,8,16
22,0,56,69,48,164
11016,6469,2467,2024,2424,2939
2671,1500,888,389,487,243
5097,5800,890,1094,2632,2620
4,0,4,0,8,4
0,0,0,0,0,0
0,0,0,0,2,0
19,4,0,0,0,0
103,36,114,114,213,658
0,0,0,0,0,0
252,68,13,12,41,50
7911,5677,2171,1520,2466,3741
0,0,0,0,0,0
1425,491,139,267,205,78
52,28,27,57,63,31
0,0,0,0,0,0
0,0,0,0,0,0
3103,3974,2148,1158,1590,3226
6,2,160,18,37,30
0,0,0,0,0,0
611,144,24,8,10,9
0,0,0,0,2,0
0,0,0,0,0,0
3015,1297,329,288,489,826
620,1153,157,113,167,538
0,0,0,0,1,0
4,3,17,0,0,0
0,0,0,0,0,0
0,0,0,6,0,0
9993,13022,2996,2331,1321,320
0,0,0,0,0,0
0,0,0,0,0,0
6,0,0,28,41,0
0,0,0,0,0,0
215,138,133,92,133,168
4,2,0,2,0,0
9,0,0,1,6,0
0,0,0,0,0,0
2,0,4,4,0,0
3191,4189,1247,1603,924,352
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,1,0
2,2,7,0,0,0
0,0,0,0,0,0
0,0,2,0,0,0
3325,2224,1314,2138,3925,4724
7,0,0,6,4,2
0,2,2,13,11,11
196,0,18,10,70,32
4,0,9,10,9,10
5,0,11,0,0,0
0,0,0,2,4,6
0,0,0,0,0,0
581,865,591,335,375,650
0,0,0,0,0,2
2,6,3,1,8,13
125,50,286,188,141,193
0,0,0,0,0,0
10,8,0,14,31,27
0,0,0,0,0,0
0,0,0,0,0,0
30,4,0,6,17,7
4,8,8,10,4,6
15,21,0,6,6,2
0,0,0,0,0,4
